"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","It should validate Non-existent route returning 404","Mobile Safari","Mon Apr 06 19:38:55 UTC 2026","passed","Mon Apr 06 19:38:55 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","877","get started link","firefox","Mon Apr 06 19:38:01 UTC 2026","passed","Mon Apr 06 19:38:02 UTC 2026","","example.spec.js","",""
"","723","Should show error message when API fails @mock","webkit","Mon Apr 06 19:38:53 UTC 2026","passed","Mon Apr 06 19:38:53 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","33","It should return 404 when performing a POST(Sucess)","Mobile Safari","Mon Apr 06 19:38:55 UTC 2026","passed","Mon Apr 06 19:38:55 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","456","Should check contract of PokeApi","webkit","Mon Apr 06 19:38:46 UTC 2026","failed","Mon Apr 06 19:38:46 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","33","It should return 404 when performing a POST(Sucess)","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","1485","get started link","webkit","Mon Apr 06 19:38:36 UTC 2026","passed","Mon Apr 06 19:38:38 UTC 2026","","example.spec.js","",""
"","1226","Should check contract of PokeApi","firefox","Mon Apr 06 19:38:17 UTC 2026","failed","Mon Apr 06 19:38:18 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","145","It should return 400 when attempting a Get on an non-existent resource","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","1340","has title","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:38:01 UTC 2026","","example.spec.js","",""
"","57","It should validate Non-existent route returning 404","webkit","Mon Apr 06 19:38:34 UTC 2026","passed","Mon Apr 06 19:38:34 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1135","Should navigation in site of Playwright and search documentation","firefox","Mon Apr 06 19:38:27 UTC 2026","failed","Mon Apr 06 19:38:28 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","17","It should validate Resource not found returning 404","webkit","Mon Apr 06 19:38:34 UTC 2026","passed","Mon Apr 06 19:38:34 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","152","Should navigation in site of Playwright and search documentation","Mobile Safari","Mon Apr 06 19:39:07 UTC 2026","failed","Mon Apr 06 19:39:07 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","32","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","203","Should check contract of PokeApi","Mobile Safari","Mon Apr 06 19:39:03 UTC 2026","failed","Mon Apr 06 19:39:03 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","222","It should return 400 when attempting a Get on an non-existent resource","webkit","Mon Apr 06 19:38:34 UTC 2026","passed","Mon Apr 06 19:38:35 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","34","It should validate the Delete method (Sucess 200/204)","chromium","Mon Apr 06 19:37:44 UTC 2026","passed","Mon Apr 06 19:37:44 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","423","Should validate Charizard data across layers","webkit","Mon Apr 06 19:38:41 UTC 2026","failed","Mon Apr 06 19:38:41 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","1200","Should validate Charizard data across layers","firefox","Mon Apr 06 19:38:07 UTC 2026","failed","Mon Apr 06 19:38:08 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","17","It should validate Resource not found returning 404","Mobile Safari","Mon Apr 06 19:38:55 UTC 2026","passed","Mon Apr 06 19:38:55 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","72","It should validate Non-existent route returning 404","chromium","Mon Apr 06 19:37:43 UTC 2026","passed","Mon Apr 06 19:37:43 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","163","Should navigation in site of Playwright and search documentation","chromium","Mon Apr 06 19:37:56 UTC 2026","failed","Mon Apr 06 19:37:56 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","55","It should validate Non-existent route returning 404","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","32","It should return 404 when attempting a Get on an non-existent resource","chromium","Mon Apr 06 19:37:44 UTC 2026","passed","Mon Apr 06 19:37:44 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","241","Should check contract of PokeApi","chromium","Mon Apr 06 19:37:52 UTC 2026","failed","Mon Apr 06 19:37:52 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","113","Should show error message when API fails @mock","Mobile Safari","Mon Apr 06 19:39:09 UTC 2026","passed","Mon Apr 06 19:39:09 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","37","It should return 201 when performing a POST(Sucess)","chromium","Mon Apr 06 19:37:43 UTC 2026","passed","Mon Apr 06 19:37:44 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","34","It should return 404 when performing a POST(Sucess)","chromium","Mon Apr 06 19:37:44 UTC 2026","passed","Mon Apr 06 19:37:44 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","34","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Mon Apr 06 19:37:44 UTC 2026","passed","Mon Apr 06 19:37:44 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","38","Should validate the datas of Pikachu with success","webkit","Mon Apr 06 19:38:34 UTC 2026","passed","Mon Apr 06 19:38:34 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","35","It should return 404 when performing a POST(Sucess)","webkit","Mon Apr 06 19:38:34 UTC 2026","passed","Mon Apr 06 19:38:34 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","18","It should validate Resource not found returning 404","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","525","get started link","chromium","Mon Apr 06 19:37:45 UTC 2026","passed","Mon Apr 06 19:37:45 UTC 2026","","example.spec.js","",""
"","39","Should validate the datas of Pikachu with success","firefox","Mon Apr 06 19:37:59 UTC 2026","passed","Mon Apr 06 19:37:59 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","320","has title","Mobile Safari","Mon Apr 06 19:38:56 UTC 2026","passed","Mon Apr 06 19:38:56 UTC 2026","","example.spec.js","",""
"","32","Should validate the datas of Pikachu with success","Mobile Safari","Mon Apr 06 19:38:55 UTC 2026","passed","Mon Apr 06 19:38:56 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","1106","Should display mocked pokemon on fron-end","firefox","Mon Apr 06 19:38:30 UTC 2026","passed","Mon Apr 06 19:38:31 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
